text,label1,label2
"Food service is excellent. Excellent ambiance, decent quality of meats, fish etc, quality menu. We didn't get much food from the chefs on duty so we have never had to do so with so much care given by the servers. Thank you. I really enjoyed visiting here. The staff here can be kind to",Business Category: Restaurants,Review Stars: 5.0
Thank you very much. I am impressed with this place). This is not a seafood/salad place you should try this time of day. The meat is superb and the sauce is nice and savory. Just a few points of note. There are four sides for all types of foods. Dessert has all sides,Business Category: Restaurants,Review Stars: 5.0
I would go again. A great Mexican experience that serves great foods and atmosphere and I hope this gets my review on the Yelp and everyone's opinion on its merits!! Best tacos of Mexican place I know!!!!! The food was very tasty and even came prepared. The staff did some very nice dishes and was as nice,Business Category: Restaurants,Review Stars: 5.0
"The menu was the best. The fish had great flavor. I loved my beef dishes as well with some spicy BBQ sauce. Overall, the service was good enough as always. This was also the one restaurant where the food was really fresh while waiting for food. This was especially the restaurant I wanted to go to.",Business Category: Restaurants,Review Stars: 5.0
"Posted by Chris_Chic Review Date: Nov 02 2012 'Best' from the staff and great atmosphere. This restaurant has just become a staple of my life! Everything from your delicious tacos to your beautiful, delicious seafood to a variety of different dishes. Their chicken (with a little extra meat is delicious",Business Category: Restaurants,Review Stars: 5.0
"This food will never disappoint! (5 STARS) Thanks to all the other guests who have expressed interest in visiting this amazing place and are looking forward to more. The great food is great I absolutely love the seafood, with a very fresh taste and very nice service. If we could eat lunch together here daily",Business Category: Restaurants,Review Stars: 5.0
"I like to take business and I'm not surprised because I love the taste of pizza. Even if I find a few extra crusts that have been added. Their menu is quite big and you could even order pizza, if not there is no price in the box. All other meals are good. Great pizza at",Business Category: Restaurants,Review Stars: 5.0
"Based this restaurant to perfection, the best food is from Italy. I can recommend the menu at every place that I go, that it was fresh and delicious. A very solid menu, I would like to try other restaurants but to not be afraid of opening some more. You're right about the pizza so",Business Category: Restaurants,Review Stars: 5.0
"Good selection of food. It's great quality. The food was excellent. If I go again I plan to do the exact same. And if a review says the menu would be 'too much at a good time', not so fast enough for me. Highly Recommend it. This was made by Crikey-R",Business Category: Restaurants,Review Stars: 5.0
"Looking forward this week for more reviews about this place! :) The place is very welcoming in its service. You're not missing anything at all. It isn't really your typical local ""no frills"" setting, but they offer a very comfortable menu for any of the ingredients we crave. I personally think if they",Business Category: Restaurants,Review Stars: 5.0
"Food, The Atmosphere. I've ordered from an Indian restaurant every single week in town. Everything was great to sit down with friends in their spare time. My wife and I didn't like the place as much at all... but the food was delicious! We will definitely come back to a place where we enjoy the",Business Category: Restaurants,Review Stars: 5.0
"The best restaurant we have ever tried. This was amazing. The owners are knowledgeable and friendly, the service was attentive. Also we would love to try the new style, they provide a buffet. My favorite sushi place in the metro area - I'm pretty satisfied with it and love the price to go. We ate",Business Category: Restaurants,Review Stars: 5.0
Truly loved the food. Service was excellent and our server was an amazing person. I didn't really see it and he would walk up to me if needed. And there weren't any complaints and they were even asking the owner to do better and that's pretty sweet. Overall I would return to the same place once,Business Category: Restaurants,Review Stars: 5.0
"But the experience with the food was absolutely excellent! The menu is simply great. The sauce, desserts were delicious and had the taste I knew I needed all day at one of our restaurant. As an average person you would be interested in this restaurant in your country - if your food tastes like your mother country. I highly",Business Category: Restaurants,Review Stars: 5.0
"It is just one thing that i enjoyed about this restaurant. It was definitely recommended here. You are welcome to join other places there, just ask. I have not heard anything wrong with food there though. The people in the restaurant were extremely generous, friendly, caring, they didn't seem to waste too much time in",Business Category: Restaurants,Review Stars: 5.0
"I like this place too Coffee Shop ""The service in this area really was amazing!!! I think this was one of the most relaxed spots we came out. I ordered the black teapots and went out for a little more coffee. A bit expensive than my normal regular, I could find no good",Business Category: Restaurants,Review Stars: 5.0
"Truly the place is my favorite and you must see it to believe! There is an awful lot of food, including a wide variety of dishes that have never been served here in many different locations and from the time we walked through I immediately realized what a fun experience this place can be, and will continue to be",Business Category: Restaurants,Review Stars: 5.0
"The service itself is superb. We always bring our own plates and our food gets the juices running. It really works, my friend had me ask her which dish to order. If you haven't been to this place already and want a taste with good quality, I'll definitely have you over. Don't come here often",Business Category: Restaurants,Review Stars: 5.0
